OSEBuildingID,CouncilDistrictCode,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),NumberofFloors,YearBuilt,Longitude,BuildingType,PrimaryPropertyType,Neighborhood,DefaultData,Latitude,ComplianceStatus,NumberofBuildings,TotalGHGEmissions,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,LargestPropertyUseType,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
24515,5.0,54304.0,0.0,54304.0,4.0,1990.0,-122.32702749999999,Multifamily LR (1-4),Low-Rise Multifamily,NORTH,No,47.69828294,Compliant,1.5,10.935,"Multifamily Housing, Parking",68138.0,Multifamily Housing,93.5,1.0000207572441886,0.0,0.0,0.0,1568729.4375
24525,2.0,114030.0,0.0,114030.0,4.0,1985.0,-122.31806309999999,Multifamily LR (1-4),Low-Rise Multifamily,GREATER DUWAMISH,No,47.59089256,Compliant,1.0,26.26,Multifamily Housing,114089.0,Multifamily Housing,20.5,1.0000202735589954,0.0,0.0,0.0,3767222.125
24530,7.0,44839.0,0.0,44839.0,6.0,1989.0,-122.3414444,Multifamily MR (5-9),Mid-Rise Multifamily,MAGNOLIA / QUEEN ANNE,No,47.6337507,Compliant,1.0,8.69,"Multifamily Housing, Retail Store",35545.0,Multifamily Housing,,1.000021112176415,0.0,0.0,0.0,1246318.6875
24531,1.0,32000.0,0.0,32000.0,1.0,1966.0,-122.33253425000001,NonResidential,Warehouse,GREATER DUWAMISH,No,47.53127915,Compliant,1.0,41.755,Non-Refrigerated Warehouse,32040.0,Non-Refrigerated Warehouse,29.5,0.5956840696380723,0.40432007318371405,0.0,0.0,1629324.25
24532,1.0,44000.0,0.0,44000.0,1.0,1970.0,-122.33253425000001,NonResidential,Warehouse,GREATER DUWAMISH,No,47.53127915,Compliant,1.0,182.85,Non-Refrigerated Warehouse,45449.0,Non-Refrigerated Warehouse,14.0,0.24872062171815898,0.7512842169187094,0.0,0.0,4391732.75
24534,1.0,36000.0,0.0,36000.0,1.0,1973.0,-122.33253425000001,NonResidential,Warehouse,GREATER DUWAMISH,No,47.53127915,Compliant,1.0,117.76,Non-Refrigerated Warehouse,36000.0,Non-Refrigerated Warehouse,41.5,0.21599009397225466,0.7840151268612157,0.0,0.0,2729449.25
24536,1.0,31360.0,0.0,31360.0,1.0,1979.0,-122.33074009999999,NonResidential,Warehouse,GREATER DUWAMISH,No,47.525711045,Compliant,1.0,41.620000000000005,"Non-Refrigerated Warehouse, Retail Store",29640.0,Non-Refrigerated Warehouse,,0.46687816210796546,0.5331312251870798,0.0,0.0,1318271.125
24537,1.0,33320.0,0.0,33320.0,1.0,1979.0,-122.33074009999999,NonResidential,Warehouse,GREATER DUWAMISH,No,47.525711045,Compliant,1.0,65.2,"Non-Refrigerated Warehouse, Office",32200.0,Non-Refrigerated Warehouse,,0.5357887550414133,0.46422169461150586,0.0,0.0,2296727.0
24538,1.0,48020.0,0.0,48020.0,1.0,1979.0,-122.33074009999999,NonResidential,Warehouse,GREATER DUWAMISH,No,47.525711045,Compliant,1.0,57.17,Non-Refrigerated Warehouse,47800.0,Non-Refrigerated Warehouse,72.0,0.6140587346366199,0.3859535645740255,0.0,0.0,2307058.625
24539,1.0,27420.0,0.0,27420.0,1.0,1979.0,-122.33074009999999,NonResidential,Warehouse,GREATER DUWAMISH,No,47.525711045,Compliant,1.0,37.315,Non-Refrigerated Warehouse,27850.0,Non-Refrigerated Warehouse,53.5,0.44873796274455124,0.5512714813264121,0.0,0.0,1151516.125
24541,3.0,48972.0,0.0,48972.0,4.0,1990.0,-122.31901565000001,Multifamily LR (1-4),Low-Rise Multifamily,EAST,No,47.604753630000005,Compliant,1.0,11.129999999999999,Multifamily Housing,66257.0,Multifamily Housing,89.5,1.000020748539988,0.0,0.0,0.0,1596497.875
